"","processo","relator","palavras_chave","n_do_documento","data_do_acordao","votacao","meio_processual","sumario","decisao_texto"
"45","0006978","CAMPOS COSTA","RESPONSABILIDADE CIVIL POR ACIDENTE DE VIAÇÃO; SEGURO AUTOMÓVEL; TOMADOR; FALTA DE CONTESTAÇÃO; EFEITOS; SEGURADORA","RL197704270006978","04/27/1977","UNANIMIDADE","APELAÇÃO.","I - Proposta uma acção especial do Código da Estrada contra entre outros a Seguradora de um veículo automóvel e o seu segurado e tendo sido este condenado, no saneador, no pedido, por falta de contestação, e prosseguindo a acção contra aquela, em virtude da contestação apresentada, esta será condenada a final mas apenas na indemnização correspondente aos prejuízos provados, mesmo que seja em quantia inferior ao pedido formulado e em que o seu segurado foi condenado.; II - É que o caso julgado relativo ao montante da indemnização em que o seu segurado foi condenado não a pode prejudicar face ao disposto no art. 522 do Cód. Civil.; III - Esta norma representa um meio de não vincular os restantes devedores solidários ao resultado de uma acção em que não puderam dizer da sua justiça, não os sujeitando ainda a um possível conluio do credor com o devedor demandado.; IV - Assim há solidariedade entre estes 2 R.R. em relação à quantia em que a Companhia de Seguros foi condenada e o A. tem o direito a haver do; R. segurado o quantitativo em que ele foi condenado.; V - A falta de contestação, neste tipo de acções, do segurado conduz a sua condenação no pedido a proferir no despacho saneador.",NA
"46","0012150","ROCHA FERREIRA","OCUPAÇÃO DE FOGO DEVOLUTO; ARRENDAMENTO; ACTO ADMINISTRATIVO; COMPETÊNCIA MATERIAL; TRIBUNAL COMUM; TRIBUNAL ADMINISTRATIVO","RL197704130012150","04/13/1977","UNANIMIDADE","APELAÇÃO.","I - No processo de posse judicial avulsa, não pode discutir-se a validade, subsistência e eficácia jurídica do contrato de arrendamento, invocado pelo réu para fundamentar a respectiva oposição.; II - Deve relegar-se para o foro administrativo a questão da pretensa incompetência e ilegitimidade da Câmara Municipal de Lisboa para, em substituição dos donos do andar ocupado pelo réu, outorgar contrato de arrendamento com o ocupante, nos termos do art. 1 do Decreto-Lei 198-A/75, de 14 de Abril.; III - O contrato de arrendamento, assim celebrado, tem-se como válido e eficaz, enquanto subsistente, por não ter sido atacado pelos meios próprios o acto administrativo de que promanou ou a que se reconduziu a sua celebração.; IV - Tal contrato é portanto, título legítimo de atribuição ao réu do uso e fruição do andar mencionado.; V - O processo de posse ou entrega judicial avulsa só tem aplicação, quando o requerente tenha a seu favor um título translativo da propriedade, mas sem a efectiva transmissão da posse ou entrega material dos bens transmitidos, por estes se encontrarem em poder de alguém, que se recusa a entregá-los ou a colocá-los à sua disposição. Não se verificam os respectivos fundamentos ou pressupostos, no caso de esbulho ou ocupação de um andar, sem título, se o proprietário, ao adquiri-lo anteriormente por sucessão, logo tinha entrado na efectiva posse dele.; VI - Neste último caso, para o fim desejado da entrega do andar, dispõe o proprietário da acção possessória de restituição de posse.",NA
"47","0007039","CAMPOS COSTA","PROVIDÊNCIA CAUTELAR NÃO ESPECIFICADA; ESCRITA COMERCIAL; APREENSÃO; ADMISSIBILIDADE","RL197704130007039","04/13/1977","UNANIMIDADE","AGRAVO.","I - Não pode ser decretada providência cautelar não especificada (C. P. C. 399) como preparatório de inquérito judicial (C. P. C. 1479) que se traduza na remoção de escrita comercial para um armário, dentro da sede, e selagem do mesmo até ela ser confiada aos peritos do inquérito.; II - Tal diligência implicaria uma apreensão da escrita que impediria a continuação do giro comercial.; III - Ora a posse e livre disposição da sua escrita é, para o comerciante, condição indispensável ao exercício do seu comércio.; IV - Uma vez que os requerentes solicitaram um procedimento cautelar destinado a evitar o desaparecimento da escrita, deveriam ter lançado mão do arrolamento.; V - Traduzindo-se o arrolamento de documentos na sua descrição e entrega a um depositário, tais operações, em si mesmas, não obstam a que o comerciante tenha acesso à documentação, se as funções de depositário forem, no caso, devidamente compreendidas e desempenhadas.",NA
"48","0017282","CORREIA DE PAIVA","INVESTIGAÇÃO DE PATERNIDADE; LEGITIMIDADE PASSIVA","RL197704010017282","04/01/1977","MAIORIA COM DEC VOT E VOT VENC","AGRAVO.","I - A expressão ""herdeiros legítimos"" constante no n. 3 do art. 1858 C. Civil abrange quer os herdeiros legítimos, quer os testamentários.; II - Há necessidade de combiná-lo com o art. 674 Cód.; Proc. Civil.",NA
"49","0017282","CORREIA DE PAIVA","INVESTIGAÇÃO DE PATERNIDADE; LEGITIMIDADE PASSIVA","RL197704010017282","04/01/1977","MAIORIA COM DEC VOT E VOT VENC","AGRAVO.","I - A expressão ""herdeiros legítimos"" constante no n. 3 do art. 1858 C. Civil abrange quer os herdeiros legítimos, quer os testamentários.; II - Há necessidade de combiná-lo com o art. 674 Cód.; Proc. Civil.",NA
"50","0006883","ROCHA FERREIRA","PROVIDÊNCIA CAUTELAR; ALIMENTOS PROVISÓRIOS; CONTESTAÇÃO; RESPOSTA À CONTESTAÇÃO; ADMISSIBILIDADE; PRINCÍPIO DO CONTRADITÓRIO","RL197703160006883","03/16/1977","UNANIMIDADE","AGRAVO.","I - No processo de alimentos provisórios há apenas dois articulados: petição e contestação. Assim tendo o requerido na contestação invocado a existência de certas excepções, o que a lei lhe não impede, não; é possível haver um terceiro articulado de resposta; à contestação.; II - Com isto não se viola o princípio do contraditório da prova, porque o mesmo, conforme resulta do disposto no art. 517, 1 do Cód. de Proc. Civil, só é de observar quando não haja ""disposições em contrário"", o que acontece no processo de alimentos provisórios.",NA
"51","0006974","CAMPOS COSTA","ARRENDAMENTO; FALTA DE PAGAMENTO DA RENDA; ACÇÃO DE DESPEJO; RENDA; LOCAL DE PAGAMENTO; PRAZO; DEPÓSITO DA RENDA","RL197703160006974","03/16/1977","UNANIMIDADE COM DEC VOT","APELAÇÃO.","I - Contrariamente ao disposto nos arts. 279, alínea b), e 296 do Cód. Civil, na contagem do prazo de 8 dias referido no art. 1041, n. 2, do mesmo Código, deve ser incluído o dia inicial.; II - Não existe depósito liberatório para os fins do art. 1093, n. 1, alínea a), do Cód. Civil, se o arrendatário tiver depositado a renda, ainda que dentro do prazo do pagamento voluntário, mas sem que se verifique algum dos casos previstos no art. 841, n. 1, do Cód. Civil.",NA
"52","0012184","COSTA AROSO","EXECUÇÃO; HIPOTECA JUDICIAL; PAGAMENTO; CASO JULGADO; LITISPENDÊNCIA","RL197702160012184","02/16/1977","UNANIMIDADE","AGRAVO.","I - O terceiro que adquire um prédio com registo de hipoteca judicial para garantia de certo crédito pode na execução movida contra o originário devedor e transmitente obter o resgate de tal encargo pagando ou depositando somente o crédito e os juros relativos a três anos, não tendo que pagar os juros excedentes nem as custas da execução, sobretudo se o pedido incidental do pagamento ou depósito for efectuado antes de completada a penhora sobre aquele prédio.; II - O pagamento global do crédito só pode ser alcançado através do exercício da impugnação pauliana de tal transmissão.; III - Verifica-se a litispendência se, por apenso àquela execução, foi instaurada outra execução contra o terceiro adquirente e verificar-se-á o caso julgado se, por inadvertência ou outro motivo, a execução prosseguir e vier a ser julgada extinta mediante o pagamento do crédito e juros de três anos não obstante as aparentes diferenças quanto aos sujeitos (executados) e quanto ao pedido (montante do crédito).",NA
"53","0017306","BORDALO SOARES","FRESTA; JANELAS; ÓCULO PARA LUZ E AR; SERVIDÃO","RL197702160017306","02/16/1977","MAIORIA COM DEC VOT E VOT VENC","AGRAVO.","I - Para que as aberturas numa parede possam ser consideradas como frestas, é necessário que não tenham mais de quinze centímetros na sua maior extensão, além de estarem situadas, pelo menos a 1,80 m do piso a que respeitam.; II - As aberturas com extensão superior a 15 cm, mesmo colocadas a 1,80 m do piso respectivo, e situadas em parede que diste menos de 1,5 m do prédio vizinho, não são frestas, e têm de estar dotadas de grades fixas metálicas, de secção não inferior a um centímetro quadrado e de malha não superior a cinco centímetros.; III - Não há qualquer limitação legal ao número de frestas ou aberturas que podem ser deixadas nas paredes.",NA
"54","0017266","LIMA CLUNY","PROVIDÊNCIA CAUTELAR; APREENSÃO DE VEÍCULO; APREENSÃO DE DOCUMENTO","RL197701210017266","01/21/1977","UNANIMIDADE","AGRAVO.","I - O artigo 15 do Decreto-Lei n. 54/75 de 12 de Fevereiro, é aplicável às situações jurídicas anteriores à sua entrada em vigor mesmo que todas as prestações da obrigação que originou a reserva de propriedade estejam já vencidas.; II - A referida disposição legal não fez mais do que ampliar a garantia da restituição do objecto vendido aos casos de venda com reserva de propriedade, em nada vindo alterar a eficácia do respectivo contrato de compra e venda em si mesmo considerado.; III - O n. 2 do artigo 12 do Código Civil expressamente conclui pela aplicabilidade da lei nova às relações juridicas já existentes.; Daí o não poder falar-se de um ""direito adquirido""; à não apreensão do veículo a restituir, se entretanto a apreensão veio a ser legalmente autorizada.",NA
"55","0012205","SANTOS SILVEIRA","PROVIDÊNCIA CAUTELAR; DESISTÊNCIA DO PEDIDO; REPETIÇÃO; ADMISSIBILIDADE","RL197701210012205","01/21/1977","UNANIMIDADE","AGRAVO.","Não é possível a renovação do procedimento cautelar havendo pévia desistência do anterior pedido.",NA
"56","0008763","CORREIA DE PAIVA","PENA DE MULTA; CONVERSÃO DA MULTA EM PRISÃO; APLICAÇÃO DE PERDÃO","RL197701210008763","01/21/1977","UNANIMIDADE","REC PENAL.","Contrariamente à posição que tem sido dominante nos últimos anos, deve-se entender que a multa convertida em prisão é pena privativa da liberdade para efeitos da aplicação de perdão do Decreto-Lei n. 758/76.",NA
"57","0008721","COSTA AROSO","PENA DE MULTA; CONVERSÃO DA MULTA EM PRISÃO; CONSTITUCIONALIDADE","RL197611300008721","11/30/1976","MAIORIA COM DEC VOT E VOT VENC","REC PENAL.","I - Os artigos 27 - 2 e 13 da Constituição da República Portuguesa não revogaram as disposições do Código Penal e do Código de Processo Penal relativas à conversão das multas em prisão (v. g. artigos 122, parágrafo 2 e 640, respectivamente).; II - Com efeito, o n. 2 do citado artigo 27, designadamente na sua expressão ""acto punido com pena de prisão"", limita-se a pressupor que a lei ordinária estabeleça quanto a privação de liberdade, revista esta a forma de prisão maior, prisão simples ou prisão resultante de conversão não estando aí a palavra ""prisão"" empregada no sentido rigoroso que lhe dá a ciência jurídica, com exclusão da prisão que resulta da conversão da multa.; III - Por sua vez, o artigo 13 não poderia funcionar para beneficiar os que não possam pagar as multas, em face dos que as pagam ou podem pagar.; IV - Seria, aliás impossível a distinção prática, completa e perfeita, entre condenados em multa possidentes e não possidentes, v.g. abdicando da conversão em prisão e substituindo esta por prestações de trabalho obrigatório (em regime livre), pois mesmo, então, subsistiria a desigualdade, pois os primeiros limitar-se-iam a pagar a multa e os segundos teriam de a remir por trabalho.; V - A proibição da prisão por dívidas, no sentido tradicional (dívidas de natureza civil). continua a ter expressão constitucional, embora indirecta, por via da conjugação do artigo 16 - 1 da Constituição da República Portuguesa com as leis internas que àquela se referem ou dela são aplicações v. g. o artigo 114 do Código Penal (redacção do Decreto-Lei n. 183/72, de 31/5).",NA
"58","0017013","CORREIA DE PAIVA","TROCA; CONTRATO-PROMESSA; ALTERAÇÃO DAS CIRCUNSTÂNCIAS; RESTITUIÇÃO; OBRIGAÇÃO","RL197611300017013","11/30/1976","UNANIMIDADE","APELAÇÃO.","I - A resolução de contratos com base no disposto no artigo 437 do Código Civil depende dos seguintes requisitos: a) que haja alteração anormal das circunstâncias em que as partes tenham fundado a decisão de contratar: b) que a exigência da obrigação; à parte lesada afecte gravemente os princípios da boa fé contratual e não esteja coberta pelos riscos do negócio.; II - Perante o que foi disposto no Decreto-Lei n. 445/74 de 12/09, e a tremenda crise em que posteriormente, caiu a construção civil, é de conceder a resolução de um contrato promessa de permuta de dois imóveis, celebrado em 30 de Janeiro de 1974, entre uma sociedade comercial que se dedica a construção civil, por conta própria ou através de empreitadas, e um particular, em que este se comprometeu a entregar àquela um prédio, que, como sabia, era destinado; à demolição e reconstrução para aumento de fogos, contra a entrega de outro pela referida sociedade.; III - Resolvido o contrato por alteração das circunstâncias, a obrigação de restituir é contida dentro dos limites do enriquecimento injustificado.; IV - Tendo sido recebido, como sinal e princípio de pagamento 2000000 de escudos e dessa quantia retirados 500000 escudos para remunerar um mediador, há apenas que restituir 1500000 escudos.",NA
"59","0003653","ALVES PINTO","PENA DE MULTA; CONVERSÃO DA MULTA EM PRISÃO; CONSTITUCIONALIDADE","RL197611300003653","11/30/1976","MAIORIA COM DEC VOT E VOT VENC","REC PENAL.","O artigo 293 n. 1 da Constituição revogou tacitamente os artigos 123 n. 1 do Código Penal e 640 n. 2 do Código do Processo Penal, e 202 do Código das Custas Judiciais, pelo que é inadmissível a conversão das penas de multa em prisão, quer das aplicadas em substituição de prisão, quer das aplicadas directamente pela lei.",NA
"60","0006792","ALVES BRANCO","EXECUÇÃO; COLIGAÇÃO ACTIVA; TÍTULO EXECUTIVO; REQUISITOS","RL197611300006792","11/30/1976","UNANIMIDADE","AGRAVO.","I - Os diversos credores de vários mútuos não deixam de ser credores conjuntos por intervirem numa mesma escritura, com constituição de hipoteca a favor de todos sobre um único prédio do devedor.; II - Em relação a dívidas que só possam provar-se por escritura pública não podem ser atendidas em juizo estipulações entre as partes que não revistam essa forma.",NA
"61","0012118","LICURGO DOS SANTOS","PRECEITOS FISCAIS; SUSPENSÃO DA INSTÂNCIA","RL197611300012118","11/30/1976","UNANIMIDADE","AGRAVO.","Mesmo que, por falta de pagamento do selo devido, não possam ser considerados documentos que acompanharam a petição, não há lugar à suspensão da instância para aguardar o resultado do processo fiscal e, antes, cabe proferir decisão, se o réu da acção citado com efeito cominatório, não contestar, por em tal caso, ele ter confessado o objecto dos autos.",NA
"62","0017056","CORTE REAL","DÍVIDA DE CÔNJUGES; BENS COMUNS; RETRIBUIÇÃO; DISPONIBILIDADE; PENHORA","RL197611240017056","11/24/1976","UNANIMIDADE","APELAÇÃO.","Porque o vencimento do marido executado é um bem móvel na sua exclusiva administração, podendo ser por ele alienado, pelas dívidas da sua exclusiva responsabilidade respondem esses seus vencimentos, até um terço.",NA
"63","0012080","BRAGA TEMIDO","TRANSPORTE MARÍTIMO; RESPONSABILIDADE CIVIL CONTRATUAL; DIREITO DE ACÇÃO; CADUCIDADE","RL197611170012080","11/17/1976","UNANIMIDADE","AGRAVO.","I - O prazo de caducidade de um ano, para a propositura da acção de perdas e danos em mercadorias transportadas em navios, nos termos do art. 3, n. 6 da Convenção de Bruxelas, só é aplicável em Portugal, no caso de o conhecimento de carga a efectuar pelo transportador marítimo ter sido emitido em território português.; II - Se a Seguradora pagou à dona da mercadoria, sua segurada, os prejuízos sofridos na carga, em navio português, fica subrogada nos direitos desta. Como a responsabilidade civil da dona do navio é de natureza contratual, a respectiva obrigação de indemnizar prescreve apenas no prazo de 20 anos.",NA
"64","0012079","LICURGO DOS SANTOS","ÁGUAS PÚBLICAS; MARGENS; SERVIDÃO","RL197610200012079","10/20/1976","UNANIMIDADE","AGRAVO.","I - As obrigações de consentir a passagem da fiscalização dos serviços hidráulicos e de fazer ou não fazer determinadas obras nas margens de uma corrente de água, por serem simples servidões, não são suficientes para justificar o direito de propriedade do Estado sobre tais margens, uma vez que tal direito só pode existir em relação às margens das correntes navegáveis ou flutuáveis e em relação às que se situam em terrenos do Estado.; II - Quando, em relação a uma corrente de água, se não alegue que ela é navegável ou flutuável, nem que o terreno que a margina, no local em causa, é pertença do Estado, este é parte ilegítima para ser demandado numa acção em que peça o reconhecimento ou a constituição de uma servidão, sobre os terrenos constitutivos das suas margens.; III - É matéria de direito, pelo que não deve ser especificada ou quesitada, a alegação de que determinadas águas são públicas.",NA
"65","0006707","COSTA AROSO","CONTRATO-PROMESSA DE COMPRA E VENDA; INCUMPRIMENTO; RESOLUÇÃO; PRAZO","RL197610130006707","10/13/1976","UNANIMIDADE","APELAÇÃO.","I - Tendo-se fixado num contrato-promessa de compra e venda de imóvel para habitação do promitente-comprador um prazo fixo para a entrega na Caixa Geral de Aposentações, da documentação necessária à celebração da escritura em que este estabelecimento interviria para a concessão de assistência financeira necessária àquele, e tendo a Caixa, por sua vez, estabelecido, a certa altura, a não concessão de mais prorrogações de prazo, verificar-se-á incumprimento e não simples mora se o promitente vendedor não tiver feito aquela entrega a pretexto do disposto no artigo 808 do Código Civil.; II - Na verdade, segundo este preceito, a mora só não se converterá em incumprimento definitivo se o credor (promitente-comprador) não perder, objectivamente, o interesse na prestação, o que não acontece se o prazo para a entrega da documentação necessária à realização da escritura pública fôra fixado, na intenção das partes, em subordinação ao prazo que o promitente- -comprador obtivesse da Caixa para a concessão do referido empréstimo a tal ponto que, a certa altura, a mesma Caixa comunicara ao promitente-comprador não lhe conceder mais prorrogações de prazo, além das já concedidas:; III - O facto de pouco depois da resolução do contrato- -promessa pelo promitente-comprador, a Caixa ter, afinal, concedido um empréstimo para a compra de outro prédio não infirma, só por si, a conclusão de que o credor perdera o interesse naquele primeiro contrato, ignorando-se se as condições de tal operação não teriam sido mais onerosas, por exemplo quanto ao prazo da amortização e garantia desta (seguro de vida).; IV - O artigo 806 do Código não funciona nos negócios fixos e o contrato referido em I e II merece tal qualificação.; V - Podia, assim, o promitente-comprador resolver o contrato, findo o prazo fixado, e pedir a indemnização acordada no contrato-promessa para a hipótese de incumprimento definitivo.",NA
"66","0011991","LICURGO DOS SANTOS","RESPONSABILIDADE CIVIL POR ACIDENTE DE VIAÇÃO; PRIORIDADE DE PASSAGEM; ABUSO DO DIREITO","RL197607280011991","07/28/1976","UNANIMIDADE","APELAÇÃO.","I - O condutor que siga por uma via rápida com três sub-faixas de cada lado, e em que há intervalos nos separadores para permitir que os veículos que circulam por uma faixa possam atravessar a faixa contrária em direcção a um ramal de saída da via, deverá reduzir especialmente a velocidade e, mesmo parar, se em duas dessas sub-faixas, do seu lado, na altura daqueles intervalos, se encontrarem parados outros veículos, porque tal significará muito naturalmente, que esses veículos estarão a dar passagem a outro ou outros provenientes de faixa contrária, e porque essa sua atitude corresponderá a uma prova de boa educação, em face dos nossos usos e costumes.; II - Se o não fizer, embora esteja a exercer o seu direito de seguir pela via pública, estará a exercê- -lo ilegitimamente, nos termos dos do artigo 334 do Código Civil, e será responsável pelo acidente que daí possa resultar, em harmonia com o artigo 483 do mesmo diploma.",NA
"67","0006729","CORTE REAL","DÍVIDA; CONFISSÃO JUDICIAL; PRESCRIÇÃO PRESUNTIVA","RL197607210006729","07/21/1976","UNANIMIDADE","AGRAVO.","I - A prescrição da alínea b) do art. 317 do Código Civil baseia-se apenas numa presunção de cumprimento pelo decurso de certo lapso de tempo a qual só pode ser ilidida pela confissão do devedor originário.; II - Mesmo que tenha decorrido o prazo da prescrição, como esta se funda na presunção de pagamento, tal presunção fica ilidida e aquela sem efeito, desde que o devedor confesse ainda não ter pago a dívida.; III - Invocada a prescrição mas confessada a dívida aquela não pode ser julgada procedente.",NA
"68","0011987","MOREIRA DE ANDRADE","LETRA; LIVRANÇA; REQUISITOS","RL197607160011987","07/16/1976","UNANIMIDADE","APELAÇÃO.","O impresso de letra, onde seguidamente à palavra letra foi aposta a expressão ""aliás livrança"", vale juridicamente como livrança contendo, embora de modo formalmente incorrecto o requisito essencial - art. 75 e 76 da Lei Uniforme - de promessa de pagar.",NA
"69","0012024","ALVES BRANCO","RESPONSABILIDADE EXTRA CONTRATUAL; ULTRAMAR; DESCOLONIZAÇÃO; COMPETÊNCIA INTERNACIONAL","RL197607140012024","07/14/1976","UNANIMIDADE","AGRAVO.","É competente o tribunal da Comarca de Lisboa para conhecer de acção baseada em acidente ocorrido em Angola, em data em que era território português.",NA
"70","0006683","COSTA AROSO","LOTEAMENTO URBANO; ALVARÁ; CONTRATO-PROMESSA DE COMPRA E VENDA; FALTA DE FORMA LEGAL; NULIDADE","RL197607140006683","07/14/1976","UNANIMIDADE","APELAÇÃO.","I - A fórmula ""salvo nos casos em que da mesma lei resultar o contrário"" com que fecha o artigo 294 do Código de Processo Civil, visa exceptuar do princípio geral da nulidade dos actos contrários à disposição legal de carácter imperativo, apenas aqueles casos em que da lei proibitiva resulta pouco adequada a sanção da nulidade, considerados os interesses em presença e o escopo presumivelmente visado pelo legislador.; II - São nulos os contratos promessa titulados por documento ou instrumento não notarial nem judicial, relativos a lotes de terreno para construção integrado em loteamento autorizado por alvará da respectiva Câmara Municipal.; III - Quando num contrato-promessa, as partes se obrigam a celebrar certo contrato que não pode ser validamente concluído, pode dizer-se que o objecto mediato do contrato-promessa é legalmente impossível.",NA
"71","0006705","CORTE REAL","SOCIEDADE POR QUOTAS; CESSÃO DE QUOTA; CLÁUSULA CONTRATUAL; CONTRATO A FAVOR DE TERCEIRO","RL197607070006705","07/07/1976","UNANIMIDADE","APELAÇÃO.","I - É contrato ou estipulação a favor de terceiro (art. 443 do Cód. Civil) a cláusula da escritura de cessão de quotas em que se estipula: ""Que a sociedade não tem passivo, mas se, porventura, algum aparecer,; é o seu pagamento de conta e responsabilidade solidária dos cedentes"".; II - Não é necessário existir qualquer vínculo obrigacional de terceiro para com o promissário, ou deste para com aquele, para que exista contrato a favor de terceiro.",NA
"72","0011984","NORBERTO SARDINHA","CUSTAS; REFORMA DA DECISÃO; PODERES DO JUIZ","RL197606180011984","06/18/1976","UNANIMIDADE","AGRAVO.","Por iniciativa do Juiz só pode ter lugar a correcção da sentença, quanto a custas, se ela fôr omissa nessa matéria.; Tendo havido decisão, condenação em custas, a sua reforma só poderá ser feita a requerimento de qualquer das partes.",NA
"73","0011757","MOREIRA DE ANDRADE","RESPONSABILIDADE CIVIL POR ACIDENTE DE VIAÇÃO; CASO JULGADO PENAL","RL197606110011757","06/11/1976","UNANIMIDADE","APELAÇÃO.","I - Não tendo a ofendida sido notificada para requerer que o montante de indemnização fosse relegado para a execução da sentença-crime nos termos do n. 3 do art. 1 do Decreto-Lei n. 45108, de 03/07/1963, pode ela pedir em acção cível uma indemnização superior àquela que, oficiosamente, lhe fora arbitrada no processo penal.; II - Esta doutrina é também válida quando, ao tempo da sentença penal não estavam ainda determinados os danos patrimoniais e não patrimoniais sofridos pela ofendida em consequência da ""cotovelada"" do réu, que lhe causou fractura do externo.",NA
"74","0006641","COSTA AROSO","AUTOMÓVEL; CONTRATO-PROMESSA DE COMPRA E VENDA; ALIENAÇÃO; MERA DETENÇÃO; SEGURO AUTOMÓVEL; RESPONSABILIDADE CIVIL POR ACIDENTE DE VIAÇÃO","RL197606020006641","06/02/1976","UNANIMIDADE","APELAÇÃO.","I - Embora constantes de uma só apólice, são seguros distintos o de responsabilidade civil e o de choque, colisão ou capotamente, e, como tais, susceptíveis de tratamentos diversos, pois o primeiro corresponde à protecção do interesse na circulação, e o segundo; à do interesse na conservação do objecto segurado.; II - Quando o proprietário do veículo celebra um contrato promessa de venda do carro e a viatura passe logo a ser conduzida pelo promitente comprador, ou a mando deste, o primeiro poderá perder o interesse na circulação do automóvel, mas não perderá o interesse na sua conservação.; III - Se nessas circunstâncias, o carro tiver um acidente, a Companhia Seguradora não poderá eximir-se de pagar ao segurado e proprietário daquele a importância devida dentro dos limites a que se obrigou pelos danos sofridos pela viatura, com fundamento na cláusula 20 da Apólice segundo a qual se consideram suspensas as garantias da Apólice quando o veículo seguro passar a outro proprietário sem prévio acordo de conhecimento da Companhia, ou quando o segurado tiver, por qualquer título ou motivo, alienado ou perdido o interesse ou qualidade que tiver servido de base ao seguro, com ressalva dos casos de transmissão por morte.; IV - Nessas circunstâncias, ainda, as despesas com a recolha do carro após o acidente só devem ser pagas pela seguradora, se expressamente constar do contrato a sua responsabilização por elas.; V - São devidos juros moratórios, à taxa legal de 5% (se outra não tiver sido convencionada), desde a data do vencimento da obrigação, sempre que o devedor recuse o pagamento, não por discutir o seu montante, mas por negar o próprio dever de indemnizar.",NA
"75","0001187","SOLANO VIANA","ESCRITURA PÚBLICA; PARTILHA DA HERANÇA; NATUREZA JURÍDICA","RL197605280001187","05/28/1976","UNANIMIDADE","APELAÇÃO.","I - Por se não verificar a transmissão de bens ou direitos entre os interessados na partilha nem a determinação do preço com referência a tal transmissão, a partilha da herança não pode ser considerada como uma compra e venda.; II - Assim é inaplicávél à partilha da herança extra-judicial, a regra do artigo 877 do Código Civil.; III - Aliás este artigo reveste carácter excepcional pelo que nunca pode ser aplicado por analogia e, portanto, a contrato que não for de compra e venda.",NA
"76","0011874","LIMA CLUNY","CONTRATO DE TRANSPORTE; TRANSPORTE MARÍTIMO; RESPONSABILIDADE CONTRATUAL; DIREITO DE ACÇÃO; CADUCIDADE","RL197605210011874","05/21/1976","MAIORIA CON DEC VOT E VOT VENC","APELAÇÃO.","I - O artigo 329 do Código Civil não é integrador de quaisquer outros preceitos relativos à caducidade, mas antes de mera natureza supletiva.; II - Daí que o julgador não tenha de socorrer-se do mesmo artigo 329 para que possa interpretar convenientemente o n. 6 do artigo 3 da Convenção de Bruxelas de 25 de Agosto de 1924.; III - O citado n. 6 do artigo 3 fixou expressamente o momento a partir do qual se inicia a contagem do prazo da caducidade, qual seja o da entrega das mercadorias ou data em que estas deveriam ser entregues.",NA
"77","0018176","AZEVEDO FERREIRA","EVASÃO; FUGA; TIRADA DE PRESO; VIOLÊNCIA; INSTRUMENTO DO CRIME","RL197605140018176","05/14/1976","UNANIMIDADE","REC PENAL.","I - O crime do artigo 190 do Código Penal só se verifica quando os presos não estão em estabelecimento prisional.; II - A violência constitui elemento do crime do art. 194 do Código Penal.; III - A expressão ""outra violência"" significa toda a força exercida sobre pessoa ou coisa para vencer a resistência que é oposta à evasão ou tentativa dela.; IV - O termo ""outros instrumentos"" do parágrafo 2 do artigo 194 não se refere a instrumentos que envolvam fraude, mas está ligado à ideia de violência.; O automóvel, preparado para esconder os reclusos, não cabe em tal termo.",NA
"78","0006571","ROCHA FERREIRA","VEÍCULO AUTOMÓVEL; QUALIFICAÇÃO; DEPÓSITO; HIPOTECA; DIREITO DE RETENÇÃO; CREDOR PREFERENCIAL; GRADUAÇÃO DE CRÉDITOS","RL197605120006571","05/12/1976","UNANIMIDADE","APELAÇÃO.","I - O credor por crédito derivado de recolhas de tractor tem preferência e deve ser graduado antes do credor por crédito garantido por hipoteca sobre o mesmo tractor, ainda que anterior.; II - Aplica-se aos tractores, como veículos automóveis que são o regime das coisas imóveis.",NA
"79","0006571","ROCHA FERREIRA","VEÍCULO AUTOMÓVEL; QUALIFICAÇÃO; DEPÓSITO; HIPOTECA; DIREITO DE RETENÇÃO; CREDOR PREFERENCIAL; GRADUAÇÃO DE CRÉDITOS","RL197605120006571","05/12/1976","UNANIMIDADE","APELAÇÃO.","I - O credor por crédito derivado de recolhas de tractor tem preferência e deve ser graduado antes do credor por crédito garantido por hipoteca sobre o mesmo tractor, ainda que anterior.; II - Aplica-se aos tractores, como veículos automóveis que são o regime das coisas imóveis.",NA
"80","0006652","CORTE REAL","PROPRIEDADE HORIZONTAL; PARTE COMUM","RL197605050006652","05/05/1976","UNANIMIDADE","APELAÇÃO.","I - É duvidoso que as noções de estrutura do prédio e de telhado - alínea a) e b) n. 1 do artigo 1421 do Código Civil - abranjam os sotãos. Não obstante; é inequívoco ser o sótão parte comum do prédio, desde que não afectado ao uso exclusivo de um dos condóminos, nos termos do art. 1421 alínea a) do Código Civil.; II - É pois abusiva e ilegal a obra da retenção de parte do sótão de forma a ficar afectada a um só dos condóminos, salvo o disposto nos arts. 1422 e 1425 do Código Civil pelo que terão de ser demolidas e a totalidade do sótão restituida à situação anterior; às mesmas.",NA
"81","0011773","AZEVEDO FERREIRA","ACÇÃO CAMBIÁRIA; LIVRANÇA; ACTO COMERCIAL; FIANÇA; ASSUNÇÃO DE DÍVIDA","RL197604020011773","04/02/1976","UNANIMIDADE","APELAÇÃO.","I - A aposição de assinatura no verso de uma livrança, sem mais qualquer referência ou endosso translativo, só pode qualificar-se, juridicamente, uso de prestação de fiança ou como de assunção cumulativa de dívida ou adesão à dívida do subscritor da livrança.; II - Sendo uma declaração negocial de fiança, será formalmente válida, se o subscritor fôr comerciante e a livrança consequência de acto substancialmente comercial.",NA
